"Mode_Damage_Grade";"Number_Buildings";"Mode_Technical_Solutuion";"ward_id";"Percentage_Injury_Loss";"Percentage_Staying";"Number_Deaths";"Number Schools ";"Number Health Post";"has_internet_post";"has_internet_pre";"has_water_pre";"has_water_post";"has_electricity_pre";"has_electricity_post";"Population";"average_income";"Percentage_Education_Level";"Percentage_Bankaccount"
"Grade 5";544;"Reconstruction";280901;0.0017574692442882249;0.8295254833040422;9;0;0;0.0017574692442882249;0.0035149384885764497;0.6678383128295254;0.6502636203866432;0.9912126537785588;0.9912126537785588;2465;13119.507908611598;0.4305799648506151;0.1195079086115993
"Grade 5";924;"Reconstruction";280403;0.021300448430493273;0.8071748878923767;24;0;0;0.2825112107623318;0.28699551569506726;0.6591928251121076;0.67152466367713;0.984304932735426;0.9798206278026906;4300;18492.152466367712;0.41591928251121074;0.11995515695067265
"Grade 5";638;"Reconstruction";281001;0.017064846416382253;0.7969283276450512;18;0;0;0.1348122866894198;0.13822525597269625;0.8754266211604096;0.8668941979522184;0.9965870307167235;0.9948805460750854;2706;14283.276450511945;0.3515358361774744;0.14675767918088736
"Grade 5";1369;"Reconstruction";280803;0.006854531607006854;0.693069306930693;37;0;0;0.022086824067022087;0.024371667936024372;0.9474485910129474;0.9185072353389185;0.9558263518659559;0.9482102056359482;5714;16976.389946686977;0.31911652703731913;0.2079207920792079
"Grade 4";791;"Reconstruction";280106;0.005405405405405406;0.9027027027027027;8;0;0;0.0;0.0;0.6418918918918919;0.6418918918918919;0.995945945945946;0.995945945945946;3791;10885.135135135135;0.3554054054054054;0.16756756756756758
"Grade 4";931;"Reconstruction";280105;0.01768867924528302;0.7134433962264151;30;0;0;0.0023584905660377358;0.0047169811320754715;0.3160377358490566;0.3160377358490566;0.9740566037735849;0.9599056603773585;4257;12458.72641509434;0.4115566037735849;0.21933962264150944
"Grade 5";833;"Reconstruction";280104;0.005;0.915;31;0;0;0.00125;0.0;0.86375;0.855;0.91;0.90375;4204;11943.75;0.31125;0.03375
"Grade 5";837;"Reconstruction";280502;0.017326732673267328;0.530940594059406;29;2;1;0.0012376237623762376;0.0012376237623762376;0.9962871287128713;0.9975247524752475;0.9925742574257426;0.9938118811881188;3710;15377.475247524753;0.34405940594059403;0.23886138613861385
"Grade 5";993;"Reconstruction";281105;0.0321285140562249;0.8524096385542169;23;0;0;0.018072289156626505;0.01706827309236948;0.9738955823293173;0.9036144578313253;0.9528112449799196;0.9427710843373494;4975;19889.558232931726;0.3855421686746988;0.178714859437751
"Grade 5";878;"Reconstruction";280302;0.015819209039548022;0.792090395480226;69;0;0;0.03954802259887006;0.03954802259887006;0.8858757062146893;0.8836158192090395;0.8214689265536723;0.5084745762711864;4829;11406.77966101695;0.423728813559322;0.062146892655367235
